sepal_length,sepal_width,petal_length,petal_width,species
6.50,3.2,5.1,2,virginica
6.40,2.7,5.3,1.9,virginica
6.80,3,5.5,2.1,virginica
5.70,2.5,5,2,virginica
5.80,2.8,5.1,2.4,virginica
6.40,3.2,5.3,2.3,virginica
6.50,3,5.5,1.8,virginica
7.70,3.8,6.7,2.2,virginica
7.70,2.6,6.9,2.3,virginica
6.00,2.2,5,1.5,virginica
6.90,3.2,5.7,2.3,virginica
5.60,2.8,4.9,2,virginica
7.70,2.8,6.7,2,virginica
6.30,2.7,4.9,1.8,virginica
6.70,3.3,5.7,2.1,virginica
7.20,3.2,6,1.8,virginica
6.20,2.8,4.8,1.8,virginica
6.10,3,4.9,1.8,virginica
6.40,2.8,5.6,2.1,virginica
7.20,3,5.8,1.6,virginica
7.40,2.8,6.1,1.9,virginica
7.90,3.8,6.4,2,virginica
6.40,2.8,5.6,2.2,virginica
6.30,2.8,5.1,1.5,virginica
6.10,2.6,5.6,1.4,virginica
7.70,3,6.1,2.3,virginica
6.30,3.4,5.6,2.4,virginica
6.40,3.1,5.5,1.8,virginica
6.00,3,4.8,1.8,virginica
6.90,3.1,5.4,2.1,virginica
6.70,3.1,5.6,2.4,virginica
6.90,3.1,5.1,2.3,virginica
5.80,2.7,5.1,1.9,virginica
6.80,3.2,5.9,2.3,virginica
6.70,3.3,5.7,2.5,virginica
6.70,3,5.2,2.3,virginica
6.30,2.5,5,1.9,virginica
6.50,3,5.2,2,virginica
6.20,3.4,5.4,2.3,virginica
5.90,3,5.1,1.8,virginica
